,y,x,highway
11998600928,10.7622493,106.6765036,
6387670790,10.7692038,106.6964766,
12000435983,10.7528108,106.6701504,
5765078830,10.7738791,106.6572154,
5765078833,10.7746967,106.6568722,
5765078838,10.7758822,106.6566778,
5765078843,10.7750979,106.6568946,
711335740,10.7956227,106.6822033,
6793862974,10.7714746,106.6775439,
11050557453,10.7681521,106.6953353,
5757739024,10.7670827,106.665859,
6757556262,10.7589217,106.6924834,traffic_signals
6757556264,10.7638971,106.6977075,traffic_signals
6754017655,10.7456253,106.6893228,
2841256319,10.7666335,106.6672875,
2841256321,10.7659933,106.6674322,
2841256338,10.7673232,106.6665348,
3338019236,10.7517808,106.6843238,
3338019237,10.751782,106.6844051,
3338019240,10.7517929,106.6841919,
3338019238,10.7517845,106.6844519,
3338019241,10.7517941,106.6845394,
6793470379,10.7777662,106.6812842,
3338019242,10.7518244,106.6847218,
3338019243,10.7518571,106.6848968,
3338019244,10.7518862,106.6850078,
3338019245,10.7519165,106.6850785,
3338019246,10.7519613,106.6851672,
3338019248,10.7520085,106.6852621,
3338019249,10.7520848,106.6853903,
3338019252,10.7521635,106.6855061,
3338019254,10.7522289,106.6855887,
5764817338,10.7702055,106.676351,
5764817339,10.7703983,106.6765257,
5764817340,10.7705892,106.6767106,
5764817341,10.771077,106.6771684,
5764817342,10.7714939,106.677566,
5764817343,10.7717339,106.6778256,
5764817344,10.7718032,106.6779077,
5764817345,10.7719212,106.6780475,
5764817346,10.7720435,106.6781923,
5764817347,10.7721921,106.6783684,
5764817350,10.7731597,106.6795149,
5764817352,10.7732733,106.6796515,
2340037589,10.7858917,106.6665441,traffic_signals
5050082265,10.7614123,106.6684746,
5050082271,10.7624043,106.6682491,
5050082316,10.7604734,106.6686881,
6449013865,10.7467205,106.6690858,
6449013876,10.747459,106.6691416,
5045757139,10.762326,106.6683762,
5045757151,10.7621196,106.6684223,
5045757189,10.7628879,106.6682509,
5045757211,10.7645152,106.6678877,
3338020159,10.7575925,106.6906919,
9708643660,10.7757785,106.7067278,
5045757305,10.7649533,106.6677899,
6793471358,10.7779625,106.6821425,
6793471361,10.7778044,106.6813378,
6793471362,10.7777148,106.6812292,
6793471363,10.7775284,106.6812728,
6793471364,10.7774843,106.6812117,
6793471365,10.7775553,106.6818149,
6793471366,10.7780659,106.6815826,
6793471367,10.7776145,106.6819003,
6793471368,10.7752453,106.6797171,
6793471372,10.7737336,106.6777116,traffic_signals
6793471373,10.7739476,106.6778398,traffic_signals
6793471374,10.7738519,106.6779049,crossing
6793471375,10.7739238,106.678008,
6793471371,10.7738148,106.6776448,crossing
5045757349,10.7655712,106.6676529,
3338020294,10.7616505,106.6960804,
3338020301,10.7633001,106.6973151,
3338020314,10.7640991,106.6979107,
3338020327,10.7643273,106.6983147,
3338020332,10.7644673,106.6985352,
3338020337,10.7647324,106.6989783,
3338020338,10.7648803,106.6991763,
3160548851,10.7552198,106.6809509,bus_stop
3338020340,10.7649681,106.6992725,
3338020341,10.7650062,106.6993282,
3338020342,10.765069,106.6993987,
3338020339,10.76492,106.6992118,
2233738917,10.7900767,106.652459,
2233738918,10.7903164,106.6524796,
